geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
nru,Nauru,,,,,,,,,,58,95,75,77,78,80,99,99,99,99,99,99,79,87,95,91,97,87,90,96,95,98,97,97
nzl,New Zealand,,,,,,,86,81,88,,,,,,,,,,,,,,,,,,,,,,,,
omn,Oman,,,,,,,,,,99,99,99,99,99,99,99,99,99,98,99,99,98,98,99,99,99,99,99,99,99,99,99,99
pak,Pakistan,,,,,,,,,,,,,62,62,65,60,54,53,52,52,63,64,65,69,72,75,75,80,84,80,83,85,86
pan,Panama,,,,,,,,,,,98,98,98,95,92,88,85,86,85,94,87,85,80,80,73,86,81,88,88,74,87,82,66
per,Peru,,,,,,,,12,28,,,,65,92,94,94,93,93,93,93,91,95,88,88,90,90,89,89,88,72,82,82,84
phl,Philippines,,,,,,,,,,7,45,42,52,48,49,77,87,87,88,88,89,89,84,79,74,84,83,83,82,81,67,82,87
plw,Palau,,,,,,,,74,96,,,,,,,,,,,,,,,,,,,,,,,,
png,Papua New Guinea,,,,,,,,,,57,59,60,67,60,63,69,58,55,64,55,58,57,59,52,49,46,36,35,35,40,32,37,35
pol,Poland,,,,,,,,,,99,95,98,97,98,98,98,98,98,98,98,98,97,96,96,96,95,93,91,90,90,89,90,90
prk,North Korea,,,,,,,,,,,,,27,98,92,96,92,92,93,93,94,96,93,93,96,96,97,97,97,97,41,,16
prt,Portugal,,,,,,,,95,91,58,70,82,94,94,94,97,97,97,96,97,97,98,98,98,98,98,98,98,98,99,99,99,99
pry,Paraguay,,,,,,,,,,,,,86,90,92,92,86,87,85,91,91,91,90,93,92,92,91,88,86,79,70,69,71
pse,Palestine,,,,,,,,,,95,92,91,97,96,99,97,98,96,97,98,99,99,99,99,99,99,99,99,99,98,95,99,91
qat,Qatar,,,,,,,92,94,92,89,93,98,93,97,97,96,94,97,99,97,93,93,97,89,99,98,97,98,98,89,98,98,95
rou,Romania,,,,,,,,,,98,98,99,98,99,98,99,99,97,95,98,96,96,96,94,90,90,92,93,90,87,86,85,78
rus,Russia,,,,,,,,,,,43,81,94,96,97,98,98,98,98,97,97,97,97,97,97,97,97,97,97,97,97,97,97
rwa,Rwanda,,,,,,,,,,,,88,96,89,95,99,97,97,97,97,97,98,98,98,98,98,98,97,98,91,88,98,94
sau,Saudi Arabia,,,,,,,,,,93,95,97,95,96,97,96,96,98,98,98,98,98,98,98,98,98,98,97,96,95,97,98,97
sdn,Sudan,,,,,,,,,,,,,,,22,60,78,78,72,75,93,92,93,94,93,93,95,93,93,90,84,68,51
sen,Senegal,,,,,,,,,,,,,,54,84,89,94,88,86,89,92,91,92,89,89,93,93,92,95,91,90,93,83
sgp,Singapore,,,,,,,,,,97,95,95,95,94,96,95,96,97,96,96,96,97,97,96,96,96,96,97,96,97,97,96,97
slb,Solomon Islands,,,,,,,,,,81,83,75,79,81,83,99,90,89,91,87,92,92,83,77,87,94,83,85,94,94,87,89,84
sle,Sierra Leone,,,,,,,,,,,,,,,,,63,77,84,86,89,91,92,83,86,84,90,93,95,91,92,91,91
slv,El Salvador,,,,,,,,,,99,75,81,94,90,89,96,99,98,91,89,89,92,92,94,94,98,92,89,96,89,97,95,96
smr,San Marino,65,69,72,76,80,84,88,92,95,,,,,,,,,,,,,,,,,,,,,,,,
som,Somalia,,,,,,,,,,,,,,,,,,,,,,,42,42,42,42,42,42,42,42,42,42,42
srb,Serbia,,,,,,,,,,,,,,89,65,93,99,93,93,89,94,97,91,92,94,91,93,91,94,87,89,92,93
ssd,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,46,45,52,59,61,67,69,73,73
stp,Sao Tome and Principe,,,,,,,,,,,,,43,70,96,75,87,99,98,98,96,96,97,95,96,96,95,95,95,96,97,92,86
svk,Slovak Republic,,,,,,3,30,36,47,98,99,99,99,99,99,99,99,99,99,99,99,99,98,97,96,96,96,96,97,97,97,97,96
svn,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,89,89
swe,Sweden,55,90,99,99,99,99,99,99,98,,,,,,,,,,,,29,30,35,42,53,67,76,92,97,97,98,94,94
swz,Eswatini,,,,,,,,,,83,86,88,90,93,95,93,92,90,88,89,91,95,98,98,90,90,90,90,90,83,77,97,85
syc,Seychelles,,,,,,,,,,97,95,98,99,99,99,99,99,99,98,99,99,98,98,99,97,96,97,99,99,97,94,97,97
syr,Syria,,,,,,,,,,79,80,80,81,82,83,83,83,83,84,84,66,52,80,56,50,59,61,60,67,62,59,59,66
tcd,Chad,,,,,,,,,,,,,,,,,,17,24,39,33,40,39,36,42,41,41,46,50,52,58,60,67
tgo,Togo,,,,,,,,,,,,,,,,,,24,78,83,85,84,84,84,82,82,83,81,84,82,83,82,85
tha,Thailand,,,,,,,,,,95,95,95,96,96,96,96,96,98,98,98,98,98,99,99,99,99,99,97,97,97,92,92,92
tjk,Tajikistan,,,,,,,,,,,,39,58,81,81,88,84,86,93,93,96,94,96,97,96,97,96,96,97,97,97,97,96
tkm,Turkmenistan,,,,,,,,,,,,96,97,96,99,98,98,96,97,96,97,98,98,97,99,98,99,99,99,99,97,98,98
tls,Timor-Leste,,,,,,,,,,,,,,,,,,79,72,72,67,83,82,77,76,79,83,83,83,83,83,83,83
ton,Tonga,,,,,,,,,,97,96,95,93,99,99,99,99,98,99,99,99,95,99,98,96,96,99,99,99,99,99,99,99
tto,Trinidad and Tobago,,,,,,,,8,49,,,,,,,,,,,,,,,,,,,,,,,,
tun,Tunisia,,,,,,,,,,94,94,93,92,96,97,99,98,99,99,98,98,97,98,98,98,98,98,97,98,97,97,97,97
tur,Turkey,,,,,,,,,,71,77,72,68,77,85,82,96,92,94,96,96,97,97,96,97,98,96,98,99,98,96,99,99
tuv,Tuvalu,,,,,,,,,,81,99,99,95,98,79,97,97,99,91,89,96,97,90,89,96,94,96,89,92,93,94,91,94
tza,Tanzania,,,,,,,,,,,,89,95,95,90,90,83,86,85,91,90,92,91,97,96,92,90,89,91,91,86,93,93
uga,Uganda,,,,,,,,,,,,29,44,62,64,64,73,71,79,80,82,83,84,85,89,93,94,93,93,89,91,89,91
ukr,Ukraine,,,,,,,,,,4,7,48,77,98,97,96,92,84,66,48,21,46,46,22,22,26,52,67,76,81,77,62,79
ury,Uruguay,,,,,,,84,75,91,92,94,95,91,94,96,95,94,94,95,95,95,95,94,95,95,95,93,91,94,92,91,94,95
usa,USA,,,,,91,91,93,93,94,,,,,,,,,,,,,,,,,,,,,,,,
uzb,Uzbekistan,,,,,,,,,,,,62,99,99,99,98,99,91,98,99,99,99,99,99,99,99,99,98,96,95,98,99,99
vct,St. Vincent and the Grenadines,,,,,,,,,,,,,31,99,99,99,99,99,99,99,96,96,97,98,99,99,99,97,98,98,99,99,94
ven,Venezuela,,,,,,,,,,5,53,60,72,82,88,71,62,53,84,78,78,81,82,78,87,84,66,60,64,54,56,43,54
vnm,Vietnam,,,,,,,,,,,,,78,94,94,93,67,87,94,88,95,97,59,95,97,96,94,75,89,94,83,91,65
vut,Vanuatu,,,,,,,,,,70,68,66,64,63,61,59,62,66,69,73,76,79,83,86,80,81,85,85,90,78,62,68,72
wsm,Samoa,,,,,,,,,,93,93,92,90,62,51,46,58,26,58,72,75,82,85,81,80,74,67,44,68,89,85,76,83
yem,Yemen,,,,,,,,,,14,19,31,38,43,80,78,79,78,76,76,69,67,71,70,63,63,59,54,60,57,56,58,46
zaf,South Africa,,,,,,,,,,73,72,72,71,76,79,83,83,76,74,71,76,70,73,85,85,85,84,82,85,84,86,85,79
zmb,Zambia,,,,,,,,,,,,,,,82,81,80,87,94,83,81,78,79,86,90,95,94,90,88,84,91,82,80
zwe,Zimbabwe,,,,,,,,,,79,76,73,70,68,65,68,72,75,73,90,94,97,95,91,87,90,89,89,90,86,88,90,90
